"individual","status","MDS1","MDS2","pred_immigrant","pred_resident"
"Wytham_UK_TC58648","resident",-0.124725477867075,0.0149498599247502,0.06,0.94
"Wytham_UK_TB26221","resident",-0.0860870326291288,-0.108115721723431,0.1,0.9
"Wytham_UK_VF63410","resident",-0.085477657965371,0.00204350539430503,0.8,0.2
"Wytham_UK_TL37524","resident",-0.135584974186519,0.127792073122106,0.38,0.62
"Wytham_UK_TB26893","resident",-0.122457031560612,0.0336131583405734,0,1
"Wytham_UK_TB26811","resident",-0.105280650648294,-0.042776131811324,0,1
"Wytham_UK_TC58902","resident",-0.0940518605492251,-0.0578685505611092,0.02,0.98
"Wytham_UK_TL37859","resident",-0.136984804757883,0.108507179920921,0.04,0.96
"Wytham_UK_TA16928","resident",0.243493170534849,-0.00117286962221941,1,0
"Wytham_UK_TK25834","resident",0.0231212559290065,-0.082182210420586,0.96,0.04
"Wytham_UK_TA16843","resident",-0.103858233856597,-0.0730597447623879,0,1
"Wytham_UK_TC58792","resident",-0.0869886188649811,-0.12706904271569,0,1
"Wytham_UK_TA15328","resident",-0.104653824381907,0.00366061966698724,0,1
"Wytham_UK_TL39277","resident",0.132305799020101,-0.0634242621612419,1,0
"Wytham_UK_VT33545","resident",-0.110174721465654,-0.0743917871659462,0.44,0.56
"Wytham_UK_VR98264","resident",-0.0438760233212409,0.0259335934333352,1,0
"Wytham_UK_TP25159","resident",-0.0792421541520231,-0.112519943381607,0.1,0.9
"Wytham_UK_TE79816","resident",-0.195510444015558,0.237653247615349,0,1
"Wytham_UK_TE79755","resident",-0.0912186405133336,-0.130629205332561,0.16,0.84
"Wytham_UK_TL37793","resident",-0.216170503124376,0.294942518105042,0,1
"Wytham_UK_TC58463","resident",-0.0784931914311339,-0.0960684793165484,0.76,0.24
"Wytham_UK_TJ24902","resident",-0.0892042854100993,-0.0851976451055341,0,1
"Wytham_UK_TJ24755","resident",-0.0455077807794135,-0.0523837523259366,0.14,0.86
"Wytham_UK_TC58583","resident",-0.119427897722219,-0.0504500589766622,0,1
"Wytham_UK_TB26193","resident",-0.00152328927838452,-0.117486172338338,0.38,0.62
"Wytham_UK_TK25707","resident",-0.100635802198483,-0.143969581474906,1,0
"Wytham_UK_TC59028","resident",-0.092593160045618,0.0392644552174345,0.36,0.64
"Wytham_UK_TK26227","resident",-0.206820404017065,0.287369488711645,0,1
"Wytham_UK_TB21562","resident",-0.199911115274334,0.223782785887871,0,1
"Wytham_UK_VT33396","resident",0.0221519056895619,-0.121120114036993,0.02,0.98
"Wytham_UK_TE80025","resident",-0.0709710819214972,-0.131717796722568,0.84,0.16
"Wytham_UK_TC59159","resident",0.172279582359388,0.019570925319529,1,0
"Wytham_UK_TK27782","resident",0.146922487468805,-0.0450987709801695,1,0
"Wytham_UK_TC58607","resident",-0.14770069391129,0.160184185268618,0,1
"Wytham_UK_TR43666","resident",-0.226074390340357,0.330428152608256,0,1
"Wytham_UK_TC58508","resident",-0.0318641766222129,-0.141863281141581,0,1
"Wytham_UK_TC59720","resident",-0.13604552456554,0.0561585293201789,0,1
"Wytham_UK_TB27383","resident",-0.0832315260080397,-0.135390595907521,0.9,0.1
"Wytham_UK_TK25787","resident",-0.102404746776509,-0.092987266409406,0.08,0.92
"Wytham_UK_TB26668","resident",-0.15246602947703,0.171653386861219,0,1
"Wytham_UK_VT33778","resident",-0.178725462218895,0.223551648154042,0,1
"Wytham_UK_TL36368","resident",-0.116059442194081,-0.0546591351462505,0.14,0.86
"Wytham_UK_TB26166","resident",0.439650351517761,0.117399617180167,1,0
"Wytham_UK_TL39490","resident",-0.180626780013045,0.239717400874861,0,1
"Wytham_UK_TJ24809","resident",-0.118706516594281,0.0831296597997458,0.02,0.98
"Wytham_UK_TC59842","resident",-0.12769650220712,-0.0693899557365127,0,1
"Wytham_UK_TC58275","resident",-0.0804947147830629,-0.0432863401189308,0.04,0.96
"Wytham_UK_TC58907","resident",-0.181761765339862,0.210083585267401,0,1
"Wytham_UK_TC58392","resident",-0.13838186660928,0.081436236225102,0,1
"Wytham_UK_TK27960","resident",-0.0583064162620926,-0.148689561133811,0.96,0.04
"Wytham_UK_TK27821","resident",-0.13573569015532,0.0713992203062003,0,1
"Wytham_UK_TC59009","resident",-0.11730845164155,-0.0315208772813852,0,1
